Team,P,W,D,L,GF,GA,GD,Pts,Notes
Haverhill Ladies 2,22,22,0,0,117,6,111,66,
Newmarket 2,22,19,1,2,138,10,128,58,
Wisbech Town 3,22,16,1,5,76,19,57,49,
St Neots 3,22,13,1,8,62,38,24,40,
City of Peterborough 4,22,10,2,10,36,55,-19,32,
Ely City 2,22,9,4,9,41,30,11,31,
Huntingdon 2,22,9,2,11,47,66,-19,26,(-3)
Newmarket 3,22,7,4,11,24,35,-11,25,
Bourne Deeping 2,22,6,3,13,33,64,-31,21,
Cambridge City 5,22,4,5,13,15,64,-49,17,
L3,22,3,4,15,16,77,-61,10,(-3)
