Team,P,W,D,L,GF,GA,GD,Pts,Notes
Spalding 2,22,19,1,2,94,28,66,58,
Leadenham 1,22,15,3,4,92,32,60,48,
Spalding 3,22,14,3,5,97,32,65,45,
M2,22,12,4,6,54,33,21,40,
Cambridge City 5,22,12,1,9,87,43,44,37,
Cambridge Nomads 2,22,11,3,8,60,55,5,36,
City of Peterborough 6,22,10,4,8,58,40,18,34,
Bourne Deeping 3,22,10,2,10,51,53,-2,32,
Wisbech Town 3,22,6,1,15,43,85,-42,19,
City of Peterborough 7,22,4,5,13,38,95,-57,17,
St Ives 3,22,2,2,18,41,121,-80,8,
Ely City 2,22,2,1,19,21,119,-98,   1,(-6)
