Team,P,W,D,L,GF,GA,GD,Pts,Notes
Ely City 2,22,18,0,4,86,33,53,54,P
M2,22,16,2,4,72,40,32,50,P
City of Peterborough 6,22,16,1,5,61,32,29,49,
City of Peterborough 5,22,15,3,4,73,38,35,48,
Boston 1,22,10,4,8,71,57,14,34,
Spalding 2,22,9,5,8,68,50,18,32,
St Ives 3,22,8,3,11,48,55,-7,27,
St Neots 2,22,8,2,12,43,68,-25,26,
Long Sutton 2,22,7,4,11,51,67,-16,25,
Market Deeping 2,22,2,8,12,39,63,-24,14,R
Ely City 3,22,4,2,16,32,77,-45,14,R
Bourne 2,22,1,2,19,32,96,-64,5,R
