Team,P,W,D,L,GF,GA,GD,Pts,Notes
St Ives 5,16,13,1,2,52,25,27,40,
M2,16,12,1,3,63,22,41,37,P
Boston 2,16,11,1,4,53,31,22,34,P
Cambridge City 5,16,9,1,6,39,34,5,28,P
Long Sutton 4,16,6,2,8,32,44,-12,20,
Ely City 3,16,6,1,9,30,36,-6,19,
Peterborough Town 6,16,4,1,11,20,48,-28,13,R
Horncastle 3,16,4,0,12,27,39,-12,12,R
Cambridge Nomads 4,16,2,2,12,15,52,-37,8,R
