Team,P,W,D,L,GF,GA,GD,Pts,Notes
Cambridge City 5,16,16,0,0,118,0,118,48,P
City of Peterborough 8,16,13,1,2,80,28,52,40,P
City of Peterborough Vets,16,9,2,5,30,25,5,29,
St Neots 3,16,8,4,4,44,39,5,28,
St Ives 5,16,5,3,8,31,49,-18,18,
M4,16,4,3,9,28,59,-31,15,
St Neots 4,16,3,3,10,20,56,-36,12,
Bourne Deeping 5,16,3,2,11,27,62,-35,11,
Ely City 4,16,2,0,14,15,75,-60,6,
