Team,P,W,D,L,GF,GA,GD,Pts,Notes
March Town 3,18,12,2,4,70,37,33,38,P
City of Peterborough 7,18,12,1,5,59,27,32,37,P
Spalding 3,18,11,3,4,78,41,37,36,P
Louth 1,18,11,2,5,48,33,15,35,
Bourne Deeping 4,18,9,2,7,56,42,14,29,
Bourne Deeping 3,18,8,4,6,49,46,3,28,
Ely City 3,18,6,1,11,31,71,-40,19,
Wisbech Town 4,18,4,3,11,35,53,-18,15,
St Ives 4,18,5,0,13,31,64,-33,15,
Cambridge Nomads 3,18,3,0,15,18,61,-43,9,
