Team,P,W,D,L,GF,GA,GD,Pts,Notes
St Ives 4,16,13,2,1,68,11,57,41,P
St Ives 5,16,11,3,2,65,30,35,36,
Bourne 3,16,10,1,5,56,26,30,31,
M4,16,7,1,8,37,37,0,22,
Ely City 4,16,7,0,9,33,43,-10,21,
City of Peterborough 8,16,6,2,8,30,48,-18,20,
March Town 4,16,6,1,9,43,48,-5,19,
St Neots 4,16,4,1,11,16,58,-42,13,
Rutland 4,16,2,1,13,27,74,-47,7,
