Team,P,W,D,L,GF,GA,GD,Pts,Notes
March Town 5,18,11,2,5,81,42,39,35,
Boston 3,18,11,2,5,46,27,19,35,P
Bourne 4,18,9,2,7,38,36,2,29,
St Neots 5,18,8,4,6,44,31,13,28,
Ely City 4,18,9,1,8,38,45,-7,28,
M4,18,8,3,7,30,34,-4,25,2D
Spalding 4,18,7,2,9,45,48,-3,23,
St Ives 5,18,7,2,9,55,34,21,22,1D
Rutland 3,18,6,3,9,38,55,-17,19,1D
City of Peterborough 8,18,3,1,14,19,82,-63,10,
