Team,P,W,D,L,GF,GA,GD,Pts,Notes
Newmarket 1,16,14,2,0,71,18,53,44,P
L1,16,11,2,3,62,23,39,35,
Ely City 1,16,10,4,2,49,24,25,34,
Cambridge University 3,16,8,2,6,37,28,9,26,
Wisbech Town 2,16,6,3,7,35,29,6,21,
Cambridge City 3,16,4,5,7,25,29,-4,17,
Huntingdon 1,16,3,5,8,30,38,-8,14,
City of Peterborough 3,16,3,1,12,14,61,-47,10,
March Town 2,16,0,2,14,7,80,-73,2,R
