Team,P,W,D,L,GF,GA,GD,Pts,Notes
Peterborough Athletic 2,22,21,1,0,113,17,96,64,P
Long Sutton 3,22,12,4,6,57,36,21,40,P
Horncastle 2,22,12,1,9,56,43,13,37,P
March Town 3,22,11,1,10,64,54,10,34,
Bourne 4,21,10,4,7,50,40,10,34,
St Neots 3,22,10,1,11,51,56,-5,31,
Peterborough Athletic 3,22,10,1,11,40,53,-13,31,
Market Deeping 2,21,9,3,9,41,44,-3,30,
Wisbech Town 3,21,8,3,10,49,63,-14,27,
St Neots 4,22,7,3,12,39,60,-21,24,
Spalding 3,22,4,5,13,36,64,-28,17,R
Peterborough Town 5,21,2,1,18,18,84,-66,7,R
