Team,P,W,D,L,GF,GA,GD,Pts,Notes
Spalding 1,22,19,0,3,102,36,66,57,P
Cambridge University 3,22,17,1,4,78,29,49,52,P
Wisbech Town 2,22,14,2,6,54,41,13,44,
Rutland 1,22,14,1,7,65,39,26,43,
City of Peterborough 4,22,11,4,7,51,46,5,37,
M1,22,9,3,10,50,44,6,30,
St Ives 2,22,8,3,11,33,47,-14,27,
Cambridge City 4,22,8,2,12,66,61,5,26,
March Town 2,22,7,2,13,46,79,-33,23,
Cambridge Nomads 2,22,6,3,13,46,59,-13,21,
Market Deeping 2,22,4,3,15,25,86,-61,15,R
City of Peterborough 5,22,2,2,18,30,79,-49,8,R
