Team,P,W,D,L,GF,GA,GD,Pts,Notes
Huntingdon 1,16,15,1,0,83,11,72,46,P
Spalding 2,16,11,4,1,33,12,21,37,P
Cambridge Nomads 2,16,7,4,5,33,32,1,25,
Cambridge City 4,15,6,2,7,26,32,-6,20,
L2,16,5,4,7,22,32,-10,19,
Ely City 2,15,5,2,8,19,27,-8,17,
St Ives 3,16,4,4,8,15,22,-7,16,
Bourne-Deeping 2,16,4,1,11,13,38,-25,13,
March Town 1,16,2,2,12,13,51,-38,8,R
