Team,P,W,D,L,GF,GA,GD,Pts,Notes
Horncastle 1,22,20,0,2,91,27,64,60,
Cambridge City Vets,22,14,5,3,88,32,56,47,
Spalding 3,22,11,5,6,76,36,40,38,
Bourne Deeping 3,22,9,6,7,51,52,-1,33,
City of Peterborough 6,22,9,4,9,57,49,8,31,
M2,22,9,4,9,53,47,6,31,
Wisbech Town 3,22,9,4,9,55,52,3,31,
St Ives 3,22,7,5,10,49,58,-9,26,
Cambridge Nomads 2,22,8,1,13,48,67,-19,25,
City of Peterborough 7,22,6,5,11,48,76,-28,23,
Alford & District 1,22,5,3,14,36,82,-46,18,
St Neots 2,22,3,2,17,31,105,-74,11,
