Team,P,W,D,L,GF,GA,GD,Pts,Notes
Rutland 1,14,14,0,0,90,13,77,42,P
Market Deeping 2,14,8,0,6,29,25,4,24,P
Newmarket 2,14,7,2,5,24,26,-2,23,
St Neots 4,14,6,2,6,22,24,-2,20,
Ely City 2,14,6,2,6,24,30,-6,20,
Bourne 3,14,5,2,7,21,21,0,17,
Wisbech Town 3,14,4,3,7,13,30,-17,15,
Huntingdon 2,14,0,1,13,8,62,-54,1,
