Team,P,W,D,L,GF,GA,GD,Pts,Notes
March Town 3,21,18,1,2,96,27,69,55,P
Bourne 4,21,12,4,5,57,30,27,40,P
St Neots 4,21,10,6,5,43,24,19,36,P
M2,21,10,5,6,51,27,24,35,
Cambridge Nomads 4,21,6,6,9,36,46,-10,24,
Peterborough Town 6,20,7,0,13,28,82,-54,21,
Alford & District 2,19,2,5,12,18,61,-43,11,R
Wisbech Town 4,20,2,3,15,18,50,-32,9,R
