Team,P,W,D,L,GF,GA,GD,Pts,Notes
March Town 4,18,11,2,5,50,29,21,35,P
M3,18,9,5,4,34,22,12,32,P
St Neots 5,18,8,3,7,32,28,4,27,P
St Ives 6,18,7,4,7,34,36,-2,25,
Alford & District 2,17,7,2,8,26,30,-4,23,
Wisbech Town 4,18,6,3,9,34,41,-7,21,
Bourne 5,17,3,3,11,19,43,-24,12,
