Team,P,W,D,L,GF,GA,GD,Pts,Notes
Peterborough Athletic 2,22,20,2,0,93,16,77,62,P
M1,22,16,5,1,73,25,48,53,P
Market Deeping 1,22,15,4,3,69,21,48,49,
Spalding 2,22,11,5,6,57,38,19,38,
March Town 2,22,12,1,9,79,53,26,37,
St Ives 3,22,11,1,10,60,55,5,34,
Wisbech Town 2,22,8,1,13,40,48,-8,25,
Horncastle 2,22,7,3,12,41,54,-13,24,
Cambridge Nomads 3,22,7,2,13,44,68,-24,23,
Long Sutton 3,22,5,5,12,30,71,-41,20,R
Peterborough Town 4,22,3,1,18,23,74,-51,10,R
Alford & District 1,22,2,0,20,17,103,-86,6,R
