Team,P,W,D,L,GF,GA,GD,Pts,Notes
St Ives 5,18,14,1,3,63,25,38,43,P
Ely City 3,18,13,2,3,43,13,30,41,P
Horncastle 3,18,10,2,6,35,19,16,32,P
Long Sutton 4,18,7,2,9,32,35,-3,23,P
March Town 4,18,5,1,12,25,58,-33,16,
St Neots 5,18,4,3,11,26,45,-19,15,
St Ives 6,18,4,1,13,26,55,-29,13,
