Team,P,W,D,L,GF,GA,GD,Pts,Notes
City of Peterborough 4,14,11,0,3,40,15,25,33,P
Cambridge City 4,14,9,3,2,42,13,29,30,P
March Town 3,14,8,1,5,36,23,13,25,
Huntingdon 2,14,7,3,4,25,22,3,24,
St Neots 4,14,4,4,6,16,26,-10,16,
Market Deeping 2,14,5,1,8,25,37,-12,16,
Wisbech Town 3,14,4,2,8,24,34,-10,14,
Ely City 2,14,1,0,13,9,47,-38,3,
