Team,P,W,D,L,GF,GA,GD,Pts,Notes
Wisbech Town 2,14,11,1,2,41,14,27,34,P
Huntingdon 1,14,9,2,3,38,17,21,29,P
Sawtry 1,14,6,4,4,28,15,13,22,
Newmarket 1,14,7,0,7,29,14,15,21,
L1,14,6,3,5,23,28,-5,21,
Bourne 3,14,5,4,5,28,32,-4,19,
Cambridge Ladies 2,14,1,4,9,12,46,-34,7,
Huntingdon 2,14,0,4,10,3,36,-33,4,R
