Team,P,W,D,L,GF,GA,GD,Pts,Notes
Newmarket 1,14,10,2,2,69,16,53,32,P
L1,14,10,1,3,39,24,15,31,P
Market Deeping 1,14,7,4,3,35,19,16,25,
Sawtry 1,14,6,2,6,23,24,-1,20,
St Ives 3,14,4,5,5,21,27,-6,17,
Saffron Walden 3,14,4,2,8,38,50,-12,14,
Bourne 3,14,3,2,9,14,45,-31,11,
Cambridge Ladies 2,14,1,4,9,16,50,-34,7,R
