Team,P,W,D,L,GF,GA,GD,Pts,Notes
Boston 1,22,20,0,2,83,25,58,60,P
St Ives 3,22,12,3,7,58,40,18,39,P
Ely City 3,22,12,1,9,62,36,26,37,P
Spalding 3,22,11,2,9,63,55,8,35,
Market Deeping 3,22,9,2,11,62,56,6,29,
M3,22,8,5,9,43,39,4,29,
Wisbech Town 4,22,8,5,9,47,47,0,29,
St Neots 3,22,8,5,9,61,84,-23,29,
Cambridge Nomads 3,22,8,3,11,29,49,-20,27,
Newmarket 1,22,8,2,12,44,64,-20,26,
March Town 4,22,7,2,13,39,64,-25,23,R
St Ives 4,22,3,6,13,23,55,-32,15,R
