Team,P,W,D,L,GF,GA,GD,Pts,Notes
Bourne 2,22,19,3,0,85,22,63,60,P
Ely City 1,22,16,2,4,94,23,71,50,P
Cambridge City 3,22,16,2,4,68,26,42,50,
Horncastle 1,22,12,4,6,64,35,29,40,
St Neots 2,22,12,3,7,38,42,-4,39,
St Ives 1,22,11,2,9,55,42,13,35,
Cambridge Nomads 2,22,10,0,12,42,50,-8,30,
Peterborough Town 3,22,9,1,12,42,50,-8,28,
Long Sutton 2,22,6,2,14,35,61,-26,20,
Peterborough Athletic 2,22,4,3,15,25,63,-38,15,
St Ives 2,22,3,2,17,17,78,-61,11,R
M1,22,1,2,19,28,101,-73,5,R
