Team,P,W,D,L,GF,GA,GD,Pts,Notes
March Town 2,22,20,1,1,109,35,74,61,P
M1,22,18,1,3,81,23,58,55,P
Cambridge City 4,22,16,2,4,92,29,63,50,P
Cambridge Nomads 3,22,11,4,7,45,45,0,37,
Wisbech Town 2,22,8,7,7,51,43,8,31,
Boston 1,22,8,3,11,63,61,2,27,
St Ives 3,22,7,5,10,42,55,-13,26,
Ely City 2,22,7,2,13,38,54,-16,23,
Wisbech Town 3,22,6,5,11,49,66,-17,23,
St Neots 3,22,4,4,14,49,76,-27,16,
March Town 3,22,5,1,16,47,106,-59,16,R
Bourne 3,22,3,3,16,38,111,-73,12,R
