Team,P,W,D,L,GF,GA,GD,Pts,Notes
Rutland 1,16,15,1,0,88,12,76,46,P
City of Peterborough 3,16,12,1,3,43,12,31,37,P
Cambridge Nomads 2,16,7,3,6,29,21,8,24,
Ely City 2,16,7,2,7,31,24,7,23,
Cambridge City 4,16,7,2,7,25,30,-5,23,
St Ives 3,16,5,3,8,17,35,-18,18,
L2,16,5,1,10,20,44,-24,16,
Market Deeping 2,16,3,2,11,18,47,-29,11,R
Bourne 2,16,2,3,11,11,57,-46,9,R
