Team,P,W,D,L,GF,GA,GD,Pts,Notes
Wisbech Town 4,20,15,2,3,96,23,73,47,P
Market Deeping 3,20,13,5,2,65,33,32,44,P
Spalding 3,20,12,3,5,77,55,22,39,P
March Town 4,20,11,4,5,67,52,15,37,P
Ely City 3,20,12,0,8,76,45,31,36,P
City of Peterborough 7,20,9,4,7,59,36,23,31,
Horncastle 2,20,8,3,9,45,59,-14,27,
Wisbech Town 5,20,6,6,8,47,64,-17,24,
Long Sutton 3,20,6,1,13,37,56,-19,19,
St Neots 4,20,3,1,16,34,80,-46,10,
Boston 3,20,0,1,19,19,119,-100,1,
