Team,P,W,D,L,GF,GA,GD,Pts,Notes
Rutland 2,20,17,2,1,112,35,77,53,P
Wisbech Town 3,20,16,3,1,73,22,51,51,P
March Town 3,20,15,1,4,68,40,28,46,P
M2,20,12,2,6,64,37,27,38,P
St Neots 3,20,10,2,8,61,51,10,32,
Bourne 3,20,7,2,11,44,55,-11,23,
Boston 2,20,6,4,10,41,61,-20,22,
Newmarket 1,20,6,1,13,35,61,-26,19,
M3,20,5,2,13,38,62,-24,17,
St Ives 4,20,2,4,14,28,83,-55,10,
Alford & District 2,20,2,1,17,28,85,-57,7,R
