Team,P,W,D,L,GF,GA,GD,Pts,Notes
Bourne 2,22,15,2,5,71,29,42,47,P
Cambridge University 3,22,13,6,3,59,23,36,45,P
Peterborough Town 3,22,13,4,5,62,32,30,43,
March Town 1,22,12,3,7,54,36,18,39,
Long Sutton 2,22,11,5,6,57,29,28,38,
St Ives 2,22,9,5,8,44,50,-6,32,
Ely City 2,22,8,3,11,38,47,-9,27,
M1,22,8,3,11,57,67,-10,27,
Cambridge Nomads 2,22,6,5,11,35,37,-2,23,
Market Deeping 1,22,6,3,13,27,55,-28,21,
Cambridge City 3,22,5,4,13,29,72,-43,18,"R, 1D"
Woodhall Spa 1,22,4,1,17,34,90,-56,13,R
