Team,P,W,D,L,GF,GA,GD,Pts,Notes
Market Deeping 1,22,17,2,3,142,29,113,53,P
Cambridge University 3,22,16,3,3,94,26,68,51,P
Ely City 1,22,14,3,5,93,36,57,45,
M1,22,13,2,7,77,50,27,41,
Cambridge Nomads 2,22,13,1,8,85,36,49,40,
City of Peterborough 4,22,12,3,7,68,33,35,39,
Rutland 1,22,12,1,9,78,52,26,37,
Wisbech Town 2,22,10,2,10,62,65,-3,32,
Bourne 2,22,5,3,14,35,96,-61,18,
March Town 2,22,4,2,16,36,101,-65,14,
Cambridge Nomads 3,22,3,0,19,20,155,-135,9,R
Long Sutton 2,22,2,0,20,17,128,-111,6,R
