Team,P,W,D,L,GF,GA,GD,Pts,Notes
Horncastle 1,22,18,2,2,95,31,64,55,"P, 1D"
City of Peterborough 6,22,14,2,6,63,43,20,44,P
March Town 3,22,13,1,8,72,43,29,40,
Bourne 3,22,13,1,8,70,62,8,40,
M2,22,12,3,7,45,35,10,39,
St Neots 3,22,11,0,11,50,46,4,33,
Alford & District 2,22,8,4,10,58,54,4,27,1D
Newmarket 1,22,8,3,11,48,49,-1,27,
Boston 2,22,8,2,12,57,61,-4,26,
St Ives 4,22,7,4,11,43,54,-11,25,
Market Deeping 3,22,7,2,13,50,66,-16,23,R
Cambridge Nomads 4,22,1,0,21,22,129,-107,3,R
