Team,P,W,D,L,GF,GA,GD,Pts,Notes
Rutland 1,16,12,1,3,61,16,45,37,P
Wisbech Town 2,16,11,3,2,50,30,20,36,
Newmarket 1,16,10,3,3,50,22,28,33,
Cambridge University 3,16,7,3,6,29,30,-1,24,
L1,16,7,3,6,32,38,-6,24,
St Ives 2,16,4,4,8,17,18,-1,16,
Spalding 2,16,3,3,10,30,50,-20,12,
Huntingdon 1,16,3,3,10,20,49,-29,12,
Oundle 1,16,3,1,12,26,62,-36,10,
