Team,P,W,D,L,GF,GA,GD,Pts,Notes
Market Deeping 1,22,21,1,0,127,25,102,64,P
St Ives 3,22,14,4,4,53,30,23,46,P
Spalding 2,22,14,3,5,83,33,50,45,P
Boston 1,22,13,4,5,62,39,23,43,
March Town 2,22,10,3,9,66,44,22,33,
Wisbech Town 2,22,10,3,9,51,46,5,33,
Bourne 3,22,8,2,12,51,63,-12,26,
Wisbech Town 3,22,6,6,10,39,71,-32,24,
Cambridge Nomads 3,22,6,5,11,47,64,-17,23,
Cambridge City 4,22,6,4,12,35,59,-24,22,
Horncastle 2,22,2,4,16,32,92,-60,10,R
Boston 2,22,2,1,19,29,109,-80,7,R
