Team,P,W,D,L,GF,GA,GD,Pts,Notes
Cambridge City 5,18,14,0,4,79,27,52,42,P
Wisbech Town 4,18,13,1,4,58,32,26,40,P
St Neots 4,18,10,4,4,50,26,24,34,P
March Town 4,18,11,0,7,42,40,2,33,
Long Sutton 4,18,8,0,10,35,38,-3,24,
Cambridge Nomads 4,18,6,5,7,40,44,-4,23,
Bourne 4,18,6,4,8,32,38,-6,22,
Horncastle 3,18,6,3,9,40,42,-2,21,
St Ives 5,18,4,1,13,28,65,-37,11,"R, 2D"
M3,18,2,2,14,16,68,-52,8,R
