Team,P,W,D,L,GF,GA,GD,Pts,Notes
Market Deeping 1,14,12,0,2,38,9,29,36,P
St Ives 2,14,10,1,3,35,15,20,31,P
Sawtry 1,14,7,3,4,29,20,9,24,
Saffron Walden 3,14,7,2,5,34,23,11,23,
St Ives 3,14,5,4,5,26,18,8,19,
Cambridge City 4,14,4,4,6,24,34,-10,16,
City of Peterborough 4,13,1,2,10,12,37,-25,5,
Bourne 3,13,1,0,12,4,46,-42,3,R
