Team,P,W,D,L,GF,GA,GD,Pts,Notes
March Town 1,18,18,0,0,74,16,58,54,P
Cambridge University 2,18,15,1,2,58,8,50,46,P
Peterborough Town 2,18,13,1,4,52,27,25,40,
Cambridge Ladies 1,18,10,2,6,50,33,17,32,
St Ives 2,18,8,3,7,26,20,6,27,
Cambridge City 3,18,8,1,9,25,31,-6,25,
Cambridge University 3,18,6,2,10,24,42,-18,20,
St Ives 3,18,3,1,14,28,47,-19,10,
Ely City 1,18,1,3,14,14,61,-47,6,
Peterborough Town 3,18,1,0,17,9,75,-66,3,R
