Team,P,W,D,L,GF,GA,GD,Pts,Notes
Wisbech Town 2,22,13,6,3,80,40,40,45,P
Cambridge Nomads 3,22,13,2,7,65,56,9,41,P
St Ives 2,22,12,4,6,55,40,15,40,
Peterborough Exiles 1,22,12,4,6,53,44,9,40,
St Ives 3,22,11,1,10,54,54,0,34,
Ely City 2,22,10,3,9,57,47,10,33,
Boston 1,22,9,2,11,58,69,-11,29,
City of Peterborough 5,22,8,3,11,49,57,-8,26,(-1)
Wisbech Town 3,22,8,0,14,64,76,-12,24,
Market Deeping 2,22,7,2,13,43,51,-8,23,
St Neots 3,22,7,2,13,46,61,-15,23,R
Horncastle 1,22,6,3,13,38,67,-29,20,R (-1)
