Team,P,W,D,L,GF,GA,GD,Pts,Notes
Peterborough Town 3,22,16,5,1,65,13,52,53,P
Horncastle 1,22,14,2,6,55,37,18,44,
Long Sutton 2,22,11,5,6,53,36,17,38,
Cambridge University 3,22,10,5,7,42,34,8,35,
March Town 1,22,10,5,7,41,38,3,35,
Cambridge City 3,22,10,4,8,57,43,14,34,
Cambridge Nomads 2,22,8,5,9,41,39,2,29,
St Ives 2,22,8,3,11,39,44,-5,27,
M1,22,6,3,13,29,67,-38,21,
Market Deeping 1,22,5,5,12,25,57,-32,20,
Newmarket 1,22,3,8,11,24,43,-19,17,R
Wisbech Town 2,22,5,2,15,33,53,-20,17,R
