Team,P,W,D,L,GF,GA,GD,Pts,Notes
Huntingdon 1,16,16,0,0,100,9,91,48,P
Bourne 2,16,9,2,5,39,23,16,29,P
March Town 2,16,8,4,4,48,27,21,28,
Wisbech Town 2,16,9,1,6,44,35,9,28,
L1,16,5,4,7,25,42,-17,19,
Sawtry 1,16,5,3,8,44,31,13,18,
Cambridge Ladies 2,16,5,3,8,24,41,-17,18,
Newmarket 1,16,6,0,10,24,52,-28,18,R
St Ives 3,16,0,1,15,4,92,-88,1,R
