Team,P,W,D,L,GF,GA,GD,Pts,Notes
Peterborough Town 4,22,19,3,0,85,22,63,60,P
Market Deeping 2,22,15,1,6,82,41,41,46,P
St Ives 4,22,12,3,7,68,45,23,39,
Cambridge City 5,22,11,2,9,43,42,1,35,
Alford & District 1,22,10,4,8,48,34,14,34,
Boston 2,22,10,3,9,51,54,-3,33,
M2,22,10,1,11,41,48,-7,31,
Wisbech Town 4,22,9,1,12,58,48,10,28,
Long Sutton 3,22,7,5,10,51,66,-15,26,
Peterborough Athletic 3,22,8,2,12,39,64,-25,26,R
Horncastle 2,22,5,0,17,32,95,-63,15,R
St Neots 4,22,2,3,17,26,65,-39,9,R
