Team,P,W,D,L,GF,GA,GD,Pts,Notes
City of Peterborough 3,14,11,2,1,51,17,34,35,
Newmarket 2,14,8,2,4,31,17,14,26,
Cambridge Nomads 2,14,8,2,4,26,20,6,26,
Ely City 2,14,5,4,5,22,27,-5,19,
St Ives 3,14,6,0,8,31,28,3,18,
Rutland 2,14,5,0,9,23,36,-13,15,
Cambridge City 4,14,4,2,8,19,32,-13,14,
L2,14,2,2,10,14,40,-26,8,
