Team,P,W,D,L,GF,GA,GD,Pts,Notes
Wisbech Town 5,18,16,0,2,69,18,51,48,P
City of Peterborough 7,18,15,1,2,90,17,73,46,P
M3,18,15,0,3,67,24,43,45,P
St Ives 5,18,7,3,8,29,38,-9,24,
Boston 3,18,7,1,10,40,51,-11,22,
March Town 5,18,6,1,11,42,71,-29,19,
Bourne 4,18,5,3,10,35,51,-16,16,2D
St Neots 5,18,5,1,12,23,54,-31,16,
City of Peterborough 8,18,4,1,13,28,63,-35,13,
Ely City 4,18,3,3,12,21,57,-36,12,
