Team,P,W,D,L,GF,GA,GD,Pts,Notes
St Neots 5,20,16,1,3,97,27,70,49,P
Rutland 3,20,15,1,4,104,37,67,45,1D
Ely City 4,20,12,1,7,68,46,22,37,
St Ives 5,20,11,2,7,56,41,15,35,
City of Peterborough 8,20,11,1,8,67,65,2,34,
M4,20,9,2,9,53,41,12,29,
Spalding 4,20,7,4,9,52,63,-11,25,
Bourne 4,20,8,0,12,47,78,-31,24,
Spalding 5,20,5,1,14,51,70,-19,16,
Rutland 4,20,4,2,14,51,108,-57,13,1D
Rutland 5,20,4,1,15,36,106,-70,13,
