Team,P,W,D,L,GF,GA,GD,Pts,Notes
Sawtry 1,14,12,0,2,57,12,45,36,P
Saffron Walden 3,14,11,1,2,70,12,58,34,P
St Ives 3,14,9,2,3,43,26,17,29,
Cambridge City 4,14,6,0,8,27,38,-11,18,
March Town 2,14,4,2,8,32,29,3,14,
Cambridge Nomads 2,14,4,1,9,28,55,-27,13,
L2,14,3,1,10,12,55,-43,10,R
City of Peterborough 4,14,2,3,9,11,53,-42,9,R
