Team,P,W,D,L,GF,GA,GD,Pts,Notes
Ely City 1,16,12,2,2,76,19,57,38,P
Market Deeping 1,16,7,5,4,31,17,14,26,
Cambridge University 3,16,7,4,5,32,22,10,25,
St Ives 2,16,7,3,6,22,22,0,24,
Wisbech Town 2,16,7,3,6,27,44,-17,24,
City of Peterborough 3,16,6,3,7,34,36,-2,21,
Cambridge City 3,16,5,2,9,22,41,-19,17,
Huntingdon 1,16,5,2,9,27,50,-23,17,R
L1,16,3,2,11,18,38,-20,11,R
