Team,P,W,D,L,GF,GA,GD,Pts,Notes
L2,14,12,1,1,40,7,33,37,P
Ely City 2,14,11,1,2,52,9,43,34,P
Bourne 3,14,8,1,5,26,13,13,25,P
St Neots 4,14,5,4,5,23,26,-3,19,
City of Peterborough 4,14,5,2,7,23,20,3,17,
Wisbech Town 3,14,4,3,7,13,29,-16,15,
Ely City 3,14,2,3,9,12,37,-25,9,
Huntingdon 2,14,1,1,12,14,62,-48,4,
