Team,P,W,D,L,GF,GA,GD,Pts,Notes
March Town 1,16,15,1,0,87,12,75,46,
St Ives 3,16,12,1,3,57,8,49,37,
Cambridge City 4,16,10,2,4,36,22,14,32,
L2,16,8,4,4,54,21,33,28,
Ely City 2,16,8,0,8,34,27,7,24,
St Neots 3,16,6,1,9,28,40,-12,19,
Huntingdon 2,16,5,1,10,27,45,-18,16,
Newmarket 3,16,1,1,14,4,68,-64,4,
Ely City 3,16,1,1,14,9,93,-84,4,
