Team,P,W,D,L,GF,GA,GD,Pts,Notes
Newmarket 1,14,14,0,0,89,6,83,42,P
Bourne 3,14,10,0,4,44,15,29,30,P
Saffron Walden 3,14,9,1,4,47,26,21,28,
Peterborough Town 4,14,6,3,5,26,26,0,21,
March Town 3,14,6,2,6,28,40,-12,20,
Wisbech Town 3,14,2,3,9,12,36,-24,9,
St Ives 3,14,2,2,10,7,47,-40,8,
Ely City 2,14,1,1,12,5,62,-57,4,
