Team,P,W,D,L,GF,GA,GD,Pts,Notes
L1,16,15,0,1,69,5,64,45,P
Huntingdon 1,16,14,1,1,64,10,54,43,P
Cambridge Nomads 2,16,9,2,5,38,28,10,29,
Rutland 1,16,9,1,6,55,32,23,28,
St Ives 3,16,6,2,8,28,19,9,20,
Cambridge City 4,16,3,4,9,18,44,-26,13,
Newmarket 2,16,4,1,11,20,79,-59,13,
Market Deeping 2,16,3,1,12,16,45,-29,10,
March Town 1,16,2,2,12,8,54,-46,8,R
