Team,P,W,D,L,GF,GA,GD,Pts,Notes
Newmarket 1,16,10,4,2,44,22,22,31,P
St Ives 2,16,8,7,1,36,19,17,31,
Market Deeping 1,16,8,4,4,23,18,5,28,
Sawtry 1,16,7,4,5,31,27,4,25,
Wisbech Town 2,16,7,4,5,27,27,0,25,
Cambridge City 3,16,5,2,9,27,34,-7,17,
Cambridge University 3,15,4,3,8,26,29,-3,15,
Saffron Walden 3,16,5,0,11,18,36,-18,15,R
City of Peterborough 3,15,3,0,12,15,35,-20,9,R
