Team,P,W,D,L,GF,GA,GD,Pts,Notes
Bedford Town 3,18,15,2,1,82,23,59,47,
March Town 1,18,12,4,2,47,16,31,40,
Bourne 2,18,13,1,4,56,31,25,40,
M1,18,8,6,4,60,45,15,29,1D
Ely City 2,18,8,3,7,40,31,9,27,
Cambridge Nomads 2,18,5,2,11,24,34,-10,17,
Woodhall Spa 1,18,4,4,10,28,61,-33,16,
Shefford & Sandy 2,18,3,6,9,27,43,-16,15,
Market Deeping 1,18,3,5,10,28,42,-14,13,1D
Spalding 2,18,1,3,14,13,79,-66,6,
