Team,P,W,D,L,GF,GA,GD,Pts,Notes
Bourne 2,16,11,2,3,46,17,29,35,P
Huntingdon 1,16,9,3,4,36,35,1,30,
Wisbech Town 2,16,9,1,6,44,31,13,28,
City of Peterborough 3,16,6,4,6,31,31,0,22,
Cambridge University 3,16,6,3,7,24,28,-4,21,
Cambridge City 3,16,6,2,8,26,24,2,20,
Ely City 1,16,5,2,9,29,47,-18,17,
March Town 2,16,5,2,9,25,43,-18,17,
St Ives 2,16,5,1,10,21,26,-5,16,R
