Team,P,W,D,L,GF,GA,GD,Pts,Notes
Spalding 3,21,19,0,2,95,29,66,57,P
Ely City 3,21,14,2,5,95,39,56,44,P
March Town 4,21,12,0,9,96,74,22,36,
Long Sutton 4,21,11,1,9,50,31,19,34,
St Ives 5,21,8,1,12,52,64,-12,25,
M3,21,7,2,12,31,57,-26,23,
St Neots 5,21,6,1,14,25,82,-57,19,R
Peterborough Town 5,21,2,3,16,26,94,-68,9,R
