Team,P,W,D,L,GF,GA,GD,Pts,Notes
March Town 2,14,9,4,1,49,23,26,31,P
Peterborough Town 3,14,9,3,2,38,15,23,30,P
Sawtry 1,14,7,2,5,31,29,2,23,
Huntingdon 2,14,7,1,6,25,23,2,22,
Wisbech Town 2,14,5,3,6,25,24,1,18,
L1,14,4,3,7,18,26,-8,15,
Cambridge Ladies 2,14,3,1,10,19,47,-28,10,
Cambridge City 4,14,1,5,8,11,29,-18,8,R
