Team,P,W,D,L,GF,GA,GD,Pts,Notes
Market Deeping 3,16,12,2,2,67,19,48,38,P
Spalding 4,16,11,3,2,65,21,44,36,P
Peterborough Town 6,16,9,2,5,44,26,18,29,
St Ives 5,16,8,3,5,30,26,4,27,
Wisbech Town 5,16,6,2,8,36,48,-12,20,
M3,16,5,2,9,25,30,-5,17,
March Town 5,16,4,5,7,27,36,-9,17,
St Neots 5,16,3,3,10,19,54,-35,12,
Ely City 4,16,2,2,12,7,60,-53,8,
