Team,P,W,D,L,GF,GA,GD,Pts,Notes
Newmarket 1,22,21,0,1,108,19,89,63,P
Bourne 3,22,14,2,6,51,29,22,44,P
Ely City 3,22,14,2,6,50,34,16,44,
Peterborough Town 5,22,11,5,6,51,30,21,38,
March Town 2,22,10,2,10,41,51,-10,32,
Wisbech Town 3,22,9,3,10,48,46,2,30,
M2,22,8,5,9,40,47,-7,29,
Long Sutton 3,22,7,5,10,35,44,-9,26,
Peterborough Athletic 3,22,8,2,12,43,63,-20,26,
Boston 2,22,5,2,15,24,61,-37,17,
Cambridge City 4,22,4,4,14,19,54,-35,16,R
St Neots 4,22,4,2,16,21,53,-32,14,R
