Team,P,W,D,L,GF,GA,GD,Pts,Notes
Boston 2,22,16,2,4,83,43,40,50,P
Wisbech Town 3,22,15,1,6,67,44,23,46,P
Market Deeping 2,22,14,2,6,65,37,28,44,
Peterborough Athletic 3,22,12,3,7,60,33,27,39,
March Town 3,22,11,5,6,66,40,26,38,
Ely City 2,22,11,5,6,64,44,20,38,
St Neots 3,22,9,4,9,57,46,11,31,
M2,22,9,3,10,51,54,-3,30,
St Ives 4,22,6,4,12,48,78,-30,22,
Bourne 4,22,6,3,13,37,60,-23,21,R
St Neots 4,22,4,2,16,36,85,-49,14,R
Cambridge City 5,22,2,0,20,25,95,-70,6,R
