Team,P,W,D,L,GF,GA,GD,Pts,Notes
Wisbech Town 2,22,15,3,4,111,31,80,48,P
Alford & District 1,22,15,3,4,92,26,66,48,P
St Neots 2,22,15,3,4,60,29,31,48,
St Ives 3,22,14,1,7,51,36,15,43,
Peterborough Town 4,22,11,5,6,48,39,9,38,
Boston 1,22,10,2,10,44,48,-4,32,
Spalding 2,22,8,7,7,50,44,6,31,
Cambridge Nomads 3,22,7,6,9,35,41,-6,27,
St Neots 3,22,7,3,12,41,57,-16,24,
Horncastle 2,22,6,2,14,30,66,-36,20,
Peterborough Athletic 2,22,4,3,15,29,70,-41,15,R
Market Deeping 2,22,1,0,21,15,119,-104,3,R
