Team,P,W,D,L,GF,GA,GD,Pts,Notes
Rutland 1,22,20,1,1,132,29,103,61,P
Cambridge Nomads 2,22,17,1,4,68,27,41,52,P
City of Peterborough 4,22,14,2,6,65,36,29,44,
M1,22,13,4,5,48,25,23,43,
Rutland 2,22,14,1,7,69,58,11,43,
Cambridge City 4,22,8,2,12,50,61,-11,26,
St Ives 2,22,7,3,12,37,45,-8,24,
Wisbech Town 3,22,7,3,12,34,58,-24,24,
Wisbech Town 2,21,6,3,12,47,62,-15,21,
St Neots 1,22,4,4,14,28,67,-39,16,
Horncastle 1,22,5,1,16,40,102,-62,16,R
March Town 2,21,2,3,16,32,80,-48,9,R
