Team,P,W,D,L,GF,GA,GD,Pts,Notes
Wisbech Town 2,22,20,1,1,103,26,77,61,
Newmarket 1,22,20,0,2,112,30,82,60,
M1,22,17,1,4,86,35,51,52,
Rutland 1,22,11,4,7,72,68,4,37,
Cambridge City 4,22,9,2,11,49,67,-18,29,
Ely City 2,22,9,0,13,61,67,-6,27,
City of Peterborough 5,22,8,2,12,52,58,-6,26,
Wisbech Town 3,22,7,2,13,44,80,-36,23,
M2,22,5,6,11,40,49,-9,21,
St Neots 1,22,6,3,13,42,65,-23,21,
Alford & District 1,22,5,2,15,63,110,-47,17,
Cambridge Nomads 2,22,2,3,17,36,105,-69,9,
