Team,P,W,D,L,GF,GA,GD,Pts,Notes
Cambridge Nomads 1,22,20,1,1,135,25,110,61,
Cambridge City 4,22,14,3,5,77,39,38,45,
Wisbech Town 2,22,12,4,6,66,62,4,40,
M1,22,11,5,6,65,38,27,38,
St Neots 1,22,11,4,7,61,34,27,37,
St Ives 2,22,9,2,11,53,75,-22,29,
Louth 1,21,8,3,10,74,64,10,27,
City of Peterborough 5,22,8,2,12,59,73,-14,26,
Bourne Deeping 2,22,8,1,13,51,65,-14,25,
Long Sutton 2,21,7,4,10,51,72,-21,25,
Spalding 2,22,6,4,12,48,76,-28,22,
Ely City 2,22,0,1,21,17,134,-117,-2,(-3)
