Team,P,W,D,L,GF,GA,GD,Pts,Notes
St Ives 4,22,18,1,3,66,23,43,55,P
Peterborough Athletic 2,22,17,2,3,80,20,60,53,P
Long Sutton 3,22,15,2,5,57,27,30,47,
Wisbech Town 3,22,13,4,5,68,37,31,43,
Peterborough Athletic 3,22,13,1,8,47,40,7,40,
Market Deeping 2,22,8,2,12,30,46,-16,26,
Ely City 3,22,7,4,11,36,58,-22,25,
Boston 2,22,6,4,12,42,69,-27,22,
Spalding 3,22,6,4,12,37,65,-28,22,
Peterborough Town 5,22,5,5,12,27,37,-10,20,
March Town 2,22,6,2,14,34,56,-22,20,
M2,22,2,1,19,19,65,-46,7,R
