Team,P,W,D,L,GF,GA,GD,Pts,Notes
Cambridge City 3,22,20,2,0,138,14,124,62,
L1,22,18,0,4,117,25,92,54,
Cambridge University 3,22,16,3,3,88,31,57,48,(-3)
St Ives 2,22,15,3,4,60,23,37,48,
Haverhill Ladies 1,22,13,2,7,73,29,44,41,
Huntingdon 1,22,10,1,11,44,68,-24,31,
City of Peterborough 3,22,9,3,10,37,50,-13,30,
March Town 1,22,7,1,14,39,68,-29,22,
St Ives 3,22,6,1,15,24,72,-48,19,
Cambridge City 4,22,6,1,15,29,78,-49,19,
Cambridge Nomads 2,22,1,2,19,16,95,-79,5,
L2,22,1,1,20,7,119,-112,4,
