Team,P,W,D,L,GF,GA,GD,Pts,Notes
Ely City 1,22,17,2,3,68,32,36,53,P
Bourne 3,22,12,6,4,64,40,24,42,P
St Neots 2,22,12,4,6,62,35,27,40,P
Boston 1,22,12,2,8,58,37,21,38,
Peterborough Town 4,22,10,4,8,51,39,12,34,
Cambridge Nomads 3,22,9,3,10,32,38,-6,30,
St Ives 3,22,9,2,11,35,35,0,29,
Alford & District 1,22,8,2,12,27,54,-27,26,
Spalding 2,22,7,3,12,34,53,-19,24,
St Ives 4,22,7,2,13,42,60,-18,23,
Peterborough Athletic 2,22,6,2,14,53,57,-4,20,R
Horncastle 2,22,5,4,13,33,79,-46,19,R
