Team,P,W,D,L,GF,GA,GD,Pts,Notes
Newmarket 1,22,20,1,1,113,18,95,61,P
City of Peterborough 5,22,14,3,5,89,38,51,45,P
Alford & District 1,22,14,2,6,117,58,59,44,P
Bourne Deeping 2,22,12,3,7,64,50,14,39,
Spalding 2,22,11,1,10,57,83,-26,34,
City of Peterborough 6,22,9,6,7,56,58,-2,33,
Horncastle 1,22,10,1,11,43,54,-11,31,
March Town 2,22,8,6,8,72,61,11,30,
Long Sutton 2,22,8,5,9,67,72,-5,29,
St Neots 2,22,4,1,17,45,111,-66,13,
St Ives 3,22,3,2,17,33,94,-61,11,R
Boston 1,22,2,3,17,37,96,-59,9,R
